NAME,population
Anderson County,"76,978"
Bedford County,"49,713"
Benton County,"16,160"
Bledsoe County,"15,064"
Blount County,"133,088"
Bradley County,"108,110"
Campbell County,"39,842"
Cannon County,"14,678"
Carroll County,"27,767"
Carter County,"56,391"
Cheatham County,"40,667"
Chester County,"17,297"
Claiborne County,"31,959"
Clay County,"7,615"
Cocke County,"36,004"
Coffee County,"56,520"
Crockett County,"14,230"
Cumberland County,"60,520"
Davidson County,"694,144"
Decatur County,"11,663"
DeKalb County,"20,490"
Dickson County,"53,948"
Dyer County,"37,159"
Fayette County,"41,133"
Fentress County,"18,523"
Franklin County,"42,208"
Gibson County,"49,133"
Giles County,"29,464"
Grainger County,"23,320"
Greene County,"69,069"
Grundy County,"13,427"
Hamblen County,"64,934"
Hamilton County,"367,804"
Hancock County,"6,620"
Hardeman County,"25,050"
Hardin County,"25,652"
Hawkins County,"56,786"
Haywood County,"17,304"
Henderson County,"28,117"
Henry County,"32,345"
Hickman County,"25,178"
Houston County,"8,201"
Humphreys County,"18,582"
Jackson County,"11,786"
Jefferson County,"54,495"
Johnson County,"17,788"
Knox County,"470,313"
Lake County,"7,016"
Lauderdale County,"25,633"
Lawrence County,"44,142"
Lewis County,"12,268"
Lincoln County,"34,366"
Loudon County,"54,068"
Macon County,"24,602"
Madison County,"97,984"
Marion County,"28,907"
Marshall County,"34,375"
Maury County,"96,387"
McMinn County,"53,794"
McNairy County,"25,694"
Meigs County,"12,422"
Monroe County,"46,545"
Montgomery County,"208,993"
Moore County,"6,488"
Morgan County,"21,403"
Obion County,"30,069"
Overton County,"22,241"
Perry County,"8,076"
Pickett County,"5,048"
Polk County,"16,832"
Putnam County,"80,245"
Rhea County,"33,167"
Roane County,"53,382"
Robertson County,"71,813"
Rutherford County,"332,285"
Scott County,"22,068"
Sequatchie County,"15,026"
Sevier County,"98,250"
Shelby County,"937,166"
Smith County,"20,157"
Stewart County,"13,715"
Sullivan County,"158,348"
Sumner County,"191,283"
Tipton County,"61,599"
Trousdale County,"11,284"
Unicoi County,"17,883"
Union County,"19,972"
Van Buren County,"5,872"
Warren County,"41,277"
Washington County,"129,375"
Wayne County,"16,673"
Weakley County,"33,328"
White County,"27,345"
Williamson County,"238,412"
Wilson County,"144,657"
